id,page,language,title,description,keywords,updatedAt
30001,home,zh-TW,Apolnus® 波那斯官方網站 | 重新定義生活的標準,"致力於打造頂級智慧家電,結合極致工藝與永續科技。Apolnus 為追求卓越的您,重新定義生活品質的最高標準。","Apolnus,波那斯,空氣清淨機推薦,空氣清淨機,除濕機.無耗材",2025-11-25 10:29:12
30002,home,zh-CN,Apolnus® 波那斯官方网站 | 重新定义生活的标准,致力于打造顶级智能家电，结合极致工艺与永续科技。Apolnus 为追求卓越的您，重新定义生活品质的最高标准。,"Apolnus,波那斯,空气净化器推荐,空气净化器,除湿机.无耗材",2025-11-24 21:57:00
30003,home,en,Apolnus® Official Website | Redefining the Standard of Living,"Committed to creating top-tier smart home appliances, combining ultimate craftsmanship with sustainable technology. Apolnus redefines the highest standard of living quality for those who pursue excellence.","Apolnus,波那斯,Air Purifier Recommendation,Air Purifier,Dehumidifier.No Consumables",2025-11-24 21:56:59
30004,home,ja,Apolnus® 公式ウェブサイト | 生活の基準を再定義する,最高のクラフトマンシップと持続可能な技術を融合させ、最高級のスマート家電の創造に専念しています。Apolnus は、卓越性を追求するお客様のために、生活の質の最高基準を再定義します。,"Apolnus,波那斯,空気清浄機のおすすめ,空気清浄機,除湿機.消耗品なし",2025-11-24 21:57:01
30005,home,ko,Apolnus® 공식 웹사이트 | 삶의 기준을 재정의합니다,최고의 장인 정신과 지속 가능한 기술을 결합하여 최고급 스마트 가전제품을 만드는 데 전념하고 있습니다. Apolnus는 탁월함을 추구하는 당신을 위해 삶의 질에 대한 최고 기준을 재정의합니다.,"Apolnus,波那斯,공기청정기 추천,공기청정기,제습기.소모품 없음",2025-11-24 21:57:03
30006,home,de,Apolnus® Offizielle Website | Den Lebensstandard neu definieren,"Wir widmen uns der Entwicklung von erstklassigen Smart Home Geräten, die ultimative Handwerkskunst mit nachhaltiger Technologie verbinden. Apolnus definiert den höchsten Standard der Lebensqualität für diejenigen neu, die nach Exzellenz streben.","Apolnus,波那斯,Empfehlung für Luftreiniger,Luftreiniger,Luftentfeuchter.Keine Verbrauchsmaterialien",2025-11-24 21:57:04
30007,home,fr,Apolnus® Site Officiel | Redéfinir le standard de vie,"Dédié à la création d'appareils électroménagers intelligents haut de gamme, alliant savoir-faire suprême et technologie durable. Apolnus redéfinit la norme la plus élevée de qualité de vie pour ceux qui recherchent l'excellence.","Apolnus,波那斯,Recommandation de purificateur d'air,Purificateur d'air,Déshumidificateur.Sans consommables",2025-11-24 21:57:05
30008,whereToBuy,zh-TW,購買通路 | Apolnus 空氣清淨機官方商城與授權經銷商,在 Apolnus 官方商城、momo購物網、PChome 24h 購物、蝦皮商城購買，或前往全台授權經銷商門市體驗。提供完整售後服務保障。,"購買,官方商城,經銷商,momo,PChome,蝦皮,Apolnus",2025-11-24 13:26:21
30009,whereToBuy,zh-CN,购买渠道 | Apolnus 空气净化器官方商城与授权经销商,在 Apolnus 官方商城、momo购物网、PChome 24h 购物、虾皮商城购买，或前往全台授权经销商门店体验。提供完整售后服务保障。,"购买, 官方商城, 经销商, momo, PChome, 虾皮, Apolnus",2025-11-24 21:57:22
30010,whereToBuy,en,Purchase Channels | Apolnus Air Purifier Official Store and Authorized Dealers,"Purchase from the official Apolnus online store, momo Shopping Network, PChome 24h Shopping, Shopee Mall, or visit authorized dealer locations nationwide for a hands-on experience. We provide a complete after-sales service guarantee.","Purchase, Official Store, Dealer, momo, PChome, Shopee, Apolnus",2025-11-24 21:57:21
30011,whereToBuy,ja,購入ルート | Apolnus 空気清浄機 公式ストアおよび認定ディーラー,Apolnus 公式オンラインストア、momo購物網、PChome 24h 購物、Shopee Mall でご購入いただくか、台湾全土の認定販売店にて体験いただけます。完全なアフターサービス保証を提供します。,"購買, 公式ストア, 販売店, momo, PChome, Shopee, Apolnus",2025-11-24 21:57:23
30012,whereToBuy,ko,구매 채널 | Apolnus 공기청정기 공식 쇼핑몰 및 공인 대리점,"Apolnus 공식 온라인 스토어, momo購物網, PChome 24h 購物, Shopee Mall에서 구매하시거나, 대만 전역의 공인 딜러 매장을 방문하여 체험해 보세요. 완벽한 애프터 서비스 보장을 제공합니다.","구매, 공식 스토어, 대리점, momo, PChome, Shopee, Apolnus",2025-11-24 21:57:24
30013,whereToBuy,de,Bezugsquellen | Offizieller Apolnus Luftreiniger-Shop und autorisierte Händler,"Kaufen Sie im offiziellen Apolnus Online-Shop, bei momo Shopping Network, PChome 24h Shopping, Shopee Mall oder besuchen Sie autorisierte Händlergeschäfte in ganz Taiwan, um die Produkte zu erleben. Wir bieten eine vollständige Garantie für den Kundendienst.","Kaufen, Offizieller Shop, Händler, momo, PChome, Shopee, Apolnus",2025-11-24 21:57:26
30014,whereToBuy,fr,Points de vente | Boutique officielle de purificateurs d'air Apolnus et revendeurs agréés,"Achetez sur la boutique en ligne officielle Apolnus, momo Shopping Network, PChome 24h Shopping, Shopee Mall, ou visitez les magasins de revendeurs agréés à travers Taïwan pour une expérience. Une garantie complète du service après-vente est fournie.","Achat, Boutique Officielle, Revendeur, momo, PChome, Shopee, Apolnus",2025-11-24 21:57:27
30015,serviceCenters,zh-TW,授權維修中心 | Apolnus 專業售後服務據點,查詢全台 Apolnus 授權維修中心，提供專業維修、保養、諮詢服務。快速定位您附近的服務據點，享受完善的售後保障。,"維修中心,售後服務,保養,維修,Apolnus",2025-11-24 13:26:22
