id,jobId,title,department,location,country,description,requirements,isActive,postedAt,createdAt,updatedAt
54,CS-CN-001,Customer Experience Program Manager,客服部,Shanghai,cn,"Define and drive customer experience programs across touchpoints including online support, service centers and warranty processes for the China market.",5+ years of customer experience or service operations experience; strong analytical and process design skills; able to collaborate with cross-functional and regional teams.,1,2025-11-26 11:58:21,2025-11-26 11:58:21,2025-11-26 11:58:21
55,DATA-CN-001,Data Engineer,資訊部,Shanghai,cn,"Build and maintain data pipelines and infrastructure that connect e-commerce, CRM and service systems, enabling reliable analytics and reporting.",3+ years of data engineering experience; proficient with SQL and at least one programming language such as Python; experience with cloud data platforms preferred.,1,2025-11-26 11:58:22,2025-11-26 11:58:22,2025-11-26 11:58:22
56,DATA-WY-001,"Senior Data Analyst, Growth",營運部,Wyoming,us,"Partner with marketing, product and e-commerce teams to uncover growth opportunities through rigorous analysis, experimentation and reporting.",4+ years of analytics experience in digital or e-commerce businesses; strong SQL skills and experience with BI tools; able to translate data into actionable insights.,1,2025-11-26 11:58:22,2025-11-26 11:58:22,2025-11-26 11:58:22
57,ECOM-WY-001,Global E-commerce Manager,營運部,Wyoming,us,"Own global e-commerce strategy and performance across key marketplaces and D2C stores, aligning pricing, assortment and campaigns with local teams.","7+ years of e-commerce or online business experience; proven track record scaling revenue across multiple markets; fluent in English, additional languages a plus.",1,2025-11-26 11:58:23,2025-11-26 11:58:22,2025-11-26 11:58:22
58,ENG-CN-001,"Senior Hardware Engineer, Air Purifier",研發部,Shanghai,cn,"Lead the hardware design of next-generation air purifiers, working closely with industrial design, firmware and manufacturing partners to deliver reliable, premium products.",Bachelor’s degree in Electrical Engineering or related field; 5+ years of hardware design experience in consumer electronics; experience with power electronics or motor control is a plus.,1,2025-11-26 11:58:23,2025-11-26 11:58:23,2025-11-26 11:58:23
59,ENG-CN-002,"Mechanical Design Engineer, Home Appliances",研發部,Shanghai,cn,"Own mechanical design from concept to mass production for air purifiers and dehumidifiers, balancing performance, cost and manufacturability.","Bachelor’s degree in Mechanical Engineering or related field; 3+ years of mechanical design experience; proficient in 3D CAD and familiar with plastics, sheet metal and tolerance analysis.",1,2025-11-26 11:58:24,2025-11-26 11:58:23,2025-11-26 11:58:23
60,ENG-CN-003,Firmware Engineer,研發部,Shanghai,cn,"Develop and optimize embedded firmware for smart home appliances, enabling connectivity, sensing and control features across product lines.",3+ years of embedded firmware development experience; familiar with C/C++ and RTOS; experience with Wi‑Fi/BLE modules and OTA update mechanisms preferred.,1,2025-11-26 11:58:24,2025-11-26 11:58:24,2025-11-26 11:58:24
61,FIN-WY-001,Finance Business Partner,財務部,Wyoming,us,"Support business leaders with financial planning, forecasting and performance tracking, providing insights that guide investment and growth decisions.",5+ years of FP&A or finance business partner experience; strong modeling and presentation skills; experience in fast-growing companies preferred.,1,2025-11-26 11:58:25,2025-11-26 11:58:24,2025-11-26 11:58:24
62,HR-WY-001,Talent Acquisition Partner,人資部,Wyoming,us,"Partner with hiring managers across regions to define hiring needs, manage end-to-end recruitment and build a strong talent pipeline.",4+ years of in-house or agency recruiting experience; comfortable hiring for technical and non-technical roles; excellent stakeholder management skills.,1,2025-11-26 11:58:25,2025-11-26 11:58:25,2025-11-26 11:58:25
63,ID-CN-001,Industrial Designer,設計部,Shanghai,cn,"Collaborate with hardware and manufacturing teams to design premium, human-centered home appliances aligned with the Apolnus design language.",Bachelor’s degree in Industrial Design or related field; strong portfolio in consumer products; experience working with Asian manufacturing partners is a plus.,1,2025-11-26 11:58:26,2025-11-26 11:58:25,2025-11-26 11:58:25
64,ID-TW-001,工業設計師（家電）,設計部,Taipei,tw,負責空氣清淨機、清淨除濕機等家電產品之外觀與使用者操作體驗設計，平衡量產可行性與品牌美學語言。,3年以上工業設計相關經驗，具家電或消費性電子產品量產實績，熟悉結構、材料與加工限制，能與研發與工廠順暢協作。,1,2025-11-26 11:58:26,2025-11-26 11:58:26,2025-11-26 11:58:26
65,IT-WY-001,IT Systems Engineer,資訊部,Wyoming,us,"Design, deploy and maintain core IT systems including collaboration tools, identity management and endpoint security for a growing global team.",3+ years of IT infrastructure or systems engineering experience; familiar with cloud-based productivity suites and security best practices.,1,2025-11-26 11:58:27,2025-11-26 11:58:26,2025-11-26 11:58:26
